uniq_id,question_sets,question,answer
cf8cbdc12ebc3f75dc145f2b665b429b,question_set1,The 2 wires are black and a bare silver wire. do I assume the bare wire is red a red connection and the black for neutral. Is 6V per lamp or for the 20.,"The type of bulb used is called a fillament therefore there is no positive or negative it does not matter which wore you use to connect with the supply.  Each lamp post is rated at maximum 6V but due to the heat from the bulb only light the lamp post for 30minutes at a time beacuse the plactic may melt.  However I have…
    
      see more
    
  
  
    The type of bulb used is called a fillament therefore there is no positive or negative it does not matter which wore you use to connect with the supply.  Each lamp post is rated at maximum 6V but due to the heat from the bulb only light the lamp post for 30minutes at a time beacuse the plactic may melt.  However I have found by connecting 3 lamp posts in series then use 12V the effect is good and they can be run for a longer period.  Hope this helps you
    
      see less"
95263d3e03936bf3a0bd175619b59cba,question_set1,Are these talking ones exactly the same size as the others? Very difficult to tell,"Yes, all exactly same scale."
de3a9b8508d72623ded8cb07dc30331e,question_set1,"I have two boys and can imagine them fighting over this, can a second locomotive be added easily?","Yes, in fact I have a second set unused I am selling still in box for £85, there would no arguments then!, Mel @mel22@fsmail.net if interested."
de3a9b8508d72623ded8cb07dc30331e,question_set2,Is this set from the Railroad range?,"Sorry I don't know, it was bought for my grandson. The only thing I can tell you is that it is compatible with 00 guage."
de3a9b8508d72623ded8cb07dc30331e,question_set3,How much track comes in the box?  Is there enough for a continual loop/oval?  My 4 YO  grandson is train crazy and was thinking of getting it for him,Hi. Yes there is enough for a continual loop. You can also buy extra track should you want to make the loop bigger.
de3a9b8508d72623ded8cb07dc30331e,question_set4,Is it three rail,"No, it is oo two rail non digital."
de3a9b8508d72623ded8cb07dc30331e,question_set5,Is this set DCC ready?,"Hi yes it is, printed as such on the side of the box"
de3a9b8508d72623ded8cb07dc30331e,question_set6,is this a nickel silver track?,Yes
ea733ea0101190b55e5b7be149ec79e9,question_set1,please can you tell me if this train work on Hornby anologe track,Yes
2ab52c119004f0bae1fabcba9a763446,question_set1,is it DCC,It is not DCC i.e. it does not have a 6 pin DCC socket so a wired DCC decoder will need to be fitted.  http://sumidacrossing.org/Collection/ This link provides information on many JR locos
e7996d12c2cb0d01e341bc1e54c88c7d,question_set1,what size are the figures please ?,"Hi, they are about 8"" inches perhaps more. My son loves them."
5f2a2131a6ed73019ebe9a94fb98cacc,question_set1,Does he says actual phrases or is only the breathing sounds?,"Says ""The force is strong with this one!"", ""I find your lack of faith disturbing!"" and ""I am your father"" as far as I can recall... plus the breathing sound"
87d63b7bd0b0666f0b9e01198ffac493,question_set1,"Which colour do you get?  I want both (two kids, not for me!) but I'd like one of each colour!",Please contact Amazon once you have placed your order. They will be able to send you 1 of each rabbit.
87d63b7bd0b0666f0b9e01198ffac493,question_set2,"Does anyone know if this toy bunny fits in the toy rabbit hutch (""frequently bought together"")?",It will fit through the door but not into the hutch
8138ab30c277ca374ea1cd45f32c1f52,question_set1,post to greece,"Hi, Yes we can still post to Greece in time for Christmas, you must order and pay for the item as soon as you can Monday the 9th December is the last posting day.Kind RegardsRobin…
    
      see more
    
  
  
    Hi, Yes we can still post to Greece in time for Christmas, you must order and pay for the item as soon as you can Monday the 9th December is the last posting day.Kind RegardsRobinDobege
    
      see less"
a6b8c38e164783351e45dd0c78ac5618,question_set1,"Re: ""Light-gauge metal frame for posing"" - to what extent are these ""poseable""? Also, any risk of damage if over bent?","The one I got was very sturdy however I don't think there is much room for posing to be honest, my pug loved it and tore it to bits but they are tough unless like me you give it to a dog "
a6b8c38e164783351e45dd0c78ac5618,question_set2,Is this dog washing washable?,Not sure as it is a Christmas gift ..
589439323857e0142a8239f966d40a62,question_set1,Are the dimensions taken from the tip of the trunk to the end of the tail? or is it the length of the body that is 77cm in length?,"the animal measures about a metre from the middle of the trunk (this is the farthest part as the trunk curls up and in a bit)  to its rear and the tail hangs down  - if you pulled the tail out and measured to the end it would be around 110/120 in total  - the animal is quite squishy so precise measuremnts are difficult…
    
      see more
    
  
  
    the animal measures about a metre from the middle of the trunk (this is the farthest part as the trunk curls up and in a bit)  to its rear and the tail hangs down  - if you pulled the tail out and measured to the end it would be around 110/120 in total  - the animal is quite squishy so precise measuremnts are difficult - hope this helps  - its a nice quality item
    
      see less"
64e0570b2c85fe525c85e4bb979957b7,question_set1,Is Elmar jointed?,"Yes he is fully jointed on head,arms and legs."
64e0570b2c85fe525c85e4bb979957b7,question_set2,Does it growl,NO - unless you are a ventriloquist
64e0570b2c85fe525c85e4bb979957b7,question_set3,Hi What are the sizes of this bear? Thanks,"The bear I got is 40cm from Head to heel standing up. its waist size is 38cm I know because I made a jumper for it, I know mad. It is a lovely quality bear the children love it. It looks like the Teddington Bear from Show Show cbees tv show that's why I bought it"
64e0570b2c85fe525c85e4bb979957b7,question_set4,how are these so cheap compared with other steiff bear sites?,Not sure but I do know that they are the real thing and customers seem to matter most with this company
64e0570b2c85fe525c85e4bb979957b7,question_set5,Did this bear come in a steiff box?,No it didn't
0c98443fcc957d39acda3a3f2e219396,question_set1,"Hi there,  what is the name on the collar of this dog?","Hi, The name is 'Buttons'. He is very sweet :)"
87132b02061eac84e9261d9635996f8d,question_set1,is it suitable for a 9 month baby,Yes I think it's ok
bdf9d6874160d07df78424271bdea6d7,question_set1,Does the item come boxed and with an official certificate?,Yes in a box and certificate
e6fcd9e941aa776771c1d706077ee13a,question_set1,"Hi just a query about the Super Boggle, is that a picture of the actual box it looks immaculate if it is as i want to give as present","I am not selling this, but when I ordered a used version of Boggle for a gift, the box was in very good condition with just a dent in one corner."
74693b80dd8ed04179043ee310c3b2c1,question_set1,Is the postage multiplied by number of sets ordered?,No. There is a base charge and then a charge for the weight.
74693b80dd8ed04179043ee310c3b2c1,question_set2,If I buy 2 packs is there any chance you can guarantee me 5 dice each of 6 different colours?,"If you put a note against the order then we will do our best to meet your request, if this is not possible we will get back to you before shipping.Gary"
9605775a7109798000de91be80fab104,question_set1,whats the size of the snakes and ladder mat ?,Its around 28inchs wide and long. Its a decent size and decent plastic. Its not too flimsy
a5a4ce4d1e9ec414eed74cfec3b20222,question_set1,how big are these?,Approximately 5cm cubed
7684c87c670c90bf0acd1acb9b6d0d96,question_set1,Is this a travel game? Small enough to put in a suitcase,"Yes the box is not to big about size of a tissue box, could also be stored out of box in it own bag that comes with it.  Hope this helps"
fe56bee43fe99711c4b2a7c1424d01c9,question_set1,My 98 year old mother can't see very well but would love a word game likes this. How big are the dice?,"The dice are a white 15mm cube, with different coloured letters on the faces. My mother aged 94 would have difficulty handling them. But they are fun to play with."
1a848bf9151a80c3f7c8d971ddbef5d4,question_set1,I have broken crosswords timer. How long is it?,I have no idea but will run mine and time it and let you know
c176e2437ef72c78e9b704b462453583,question_set1,What's the best number of people for this game?,At least 2. No More than 4.
532e27322dd685843ecad9b18db43f26,question_set1,how many dice in a pack?,The bag contains 100 7mm dice
20e68d03f1e6d1ec997735141a8cf573,question_set1,Are the faces indented into the dice or just printed on top?,"Hello,all of our dice are engraved and then painted.Q-workshop"
6cdd9ea47fb172a02c82d70afa53f958,question_set1,How many cubes do U get?,Bought them for my niece - think there's 9 in a pack - excellent learning tool
6cdd9ea47fb172a02c82d70afa53f958,question_set2,how many cubes do u get,The pack I bought contains 9 story cubes. There is a picture on each face of each cube. Pamela
6161793f6611d0a2065728826aae8ebc,question_set1,What size are the cards? Are they laminated?,"8 inches by 4 inches approx. no, far from being laminated, they were paper thin. You would need a board under them to use. And, the box for each beetle was far too small. Youngsters could not possibly draw within the space provided. I was extremely disappointed and threw them in the bin!"
a28e6d2919e4fb5cf96fdb8b3688fbb9,question_set1,Are all the dice white or mixed as shown in the picture,mixed
42f4c09c1d55879729c2387ac13857f8,question_set1,Does it come with a big enough tray to play in?,The box is the tray. It's big enough to play with.
42f4c09c1d55879729c2387ac13857f8,question_set2,is it like kinetic sand,"Yes I think it is.  Have never owned Kinetic sand but this is brilliant - cross between sand and play dough - so perfect - never dries out, can't be trodden into carpets and my four year old LOVES it"
519a67cdbf2efb4d49102d749c155807,question_set1,"Hi, Please can you confirm whether this includes a tray for the sand? The description says it does but it isnt shown on the picture. Thank you","Yes, this comes with a tray that can be used to store the Play Sand."
519a67cdbf2efb4d49102d749c155807,question_set2,Is this regular sand or the kinetic sand stuff that never dries out and flows?,This is definitely not normal sand. It is the magic type of sand that never dries out and flows!
a86f57bbf3abbddd964f1ca438a07c94,question_set1,Would this be ok for a 2 year old?,"HalloI think no because this is only  4-10 years. The parts are too small Regression…
    
      see more
    
  
  
    HalloI think no because this is only  4-10 years. The parts are too small RegressionT.Bias
    
      see less"
a86f57bbf3abbddd964f1ca438a07c94,question_set2,Can you re use it year after year?,You could if you were REALLY careful when opening each of the doors.  You would also need to make sure none of the items when missing before re packing ready for next year.  Realistically they are a single year use. Ours stay in the Christmas decoration box and get set up by the smalls each year and still very much enjoyed.
a86f57bbf3abbddd964f1ca438a07c94,question_set3,"I can see the set only contains the four figures plus accessories, does in include the reindeer and sleigh? Thank you",Yes it does
a86f57bbf3abbddd964f1ca438a07c94,question_set4,Does anyone know what's the meaning of style A?,"Hello Carey, no meaning, there is not differents styles, it must be a description generic or that came from other product. Best regards from Playmyplanet"
a86f57bbf3abbddd964f1ca438a07c94,question_set5,What age is this product suitable for?,My daughter was 14 when she asked for this and she loved it
a86f57bbf3abbddd964f1ca438a07c94,question_set6,what size is the display,46x24cm
3dc26045ca282ada5bdd837c3f832dd7,question_set1,Is this in english as I noticed on the box it is not written in english,"I bought this last Christmas and my box was in English.  From what I remember, it shouldn't be a problem as the advent box numbers will be the same and I can't remember any instructions that were written, I think it was just pictures.  I've just bought two different ones for this year as our grandchildren loved them an…
    
      see more
    
  
  
    I bought this last Christmas and my box was in English.  From what I remember, it shouldn't be a problem as the advent box numbers will be the same and I can't remember any instructions that were written, I think it was just pictures.  I've just bought two different ones for this year as our grandchildren loved them and I think one of my choices is foreign.
    
      see less"
576d95eb5ece5770605fe1fb8a72f54b,question_set1,Is the sand wet or dry?,Damp rather than wet
5d2020a8efa1bacc711b91082b33af8a,question_set1,How many bags do you get for this?,One
900e782753c3cc6a6396da3315add573,question_set1,can you confirm that i will receive the calendar in the picture (2013) edition?,This is the one I received but I did get mine quite a while ago lol
094682f38b82556e7968df4eb5ff99cb,question_set1,I have seen a few videos online reviews etc... i would like to know how easy it is to Free-style model this? (like upright towers etc),Although the sand is easily moulded.. it is very soft and doesn't hold its shape for very long.
094682f38b82556e7968df4eb5ff99cb,question_set2,Hi.. Is this the same stuff as kinetic sand?  Thanks :),Yes it is
094682f38b82556e7968df4eb5ff99cb,question_set3,Can this be used in a sandpit?,"I think this is meant to be used indoors only, useful on bad weather days for play.We use plastic sheet to prevent mess,but sand easily removed from carpet with vacuum cleaner."
094682f38b82556e7968df4eb5ff99cb,question_set4,Does the product come in a tub or a plastic bag? Just want to know if I need to buy any extras.,"Its in a bag, I store it perfectly well in an ice-cream tub."
3914639701aa04906efddf89ae8fd8bb,question_set1,what is the dimension of those small boxes？,The drawers are 4.5 x 4.5 x 5.5 cm's.Colin - Bort Shopping. We're currently running a 3 for 2 offer on these Advent Gift Boxes here on Amazon.
ec2b46b7363449a91b66a0e721ae4b9a,question_set1,what other figures can I buy to go with this set?,"You could buy clone troopers, chewbacca, any jedi's, really anything you would like. Many thanks shawn"
ec2b46b7363449a91b66a0e721ae4b9a,question_set2,do this this come in the original box in separate packs?,"If I understand the question correctly, there were two bags inside the box, one containing the very small pieces."
aaa408672289b67260f0b3c146c5097a,question_set1,is this the 2014 version?,No I believe it is last years
aaa408672289b67260f0b3c146c5097a,question_set2,"I'm buying this as a keep sake, it doesn't show the box, I assume it comes all boxed up?  That might be a silly question.",Yes it's a boxed play-scene
b7be7c9ec9a08e02f65c1d47dd2da00c,question_set1,Can you mix it with other motion sand makes,I have never tried to be honest.
6d36b969ca0cd82e709ccf12ed480781,question_set1,How big is the box that is used as the playscene? Is there enough sand to fill it or should I buy extra?,"You can buy more, it is not too much"
ad95fdf7fbf05ab0fa92276aaf3ccad5,question_set1,How much do you get? does anyone know in grams/volume? Thanks :-),It's not a lot really. A large cupful. Sorry don't have the box so can't say exactly. But honestly it's worth it :)
174c908e0217a29a26996ea4643ea583,question_set1,does this have little chocolates behind each door?,"Hi Rachel, no this isn't a chocolate advent, sorry.  Squashed Tomato Ltd"
a864ed32829c7fdabf9332fb7db0da03,question_set1,Is there a box with the sand?,No. Just a tub and some extras.
a864ed32829c7fdabf9332fb7db0da03,question_set2,What is suitable for a 7 yrs,"I bought for my 2 year old, I would say if they are particularly into crafty stuff then a 7 yr would enjoy it. Much more 'interesting' than play dough."
ab26937aba75314bf1a0b20879966231,question_set1,Is this wall mountable?,"It does not have any fixings to attach to a wall, but it would be easy to attach a picture hook fixing yourself I would think."
ab26937aba75314bf1a0b20879966231,question_set2,Please can you tell me how the holiday poem goes?,"Each evening when goodnights are said,Take off one link and hop into bed.When only the star is left to shine,…
    
      see more
    
  
  
    Each evening when goodnights are said,Take off one link and hop into bed.When only the star is left to shine,Then you will know it's Christmastime!
    
      see less"
b8da8c01f3749144d991152a3bf354bb,question_set1,What type of pictures are behind the doors?,They are varied and pretty
f99ed6c506e37c693b01616c00606df3,question_set1,does it have a lid? If not how do you store the sand?,"It comes in a pretty sturdy cardboard box with lid, as pictured. My little boy uses the box as a tray while he's playing with the sand too which keeps it contained in one place nicely! Then I put the sand back in the press and seal bag that it came in, in the box, and then keep it all in the together in the box."
f99ed6c506e37c693b01616c00606df3,question_set2,Can i have the dimensions of the box please?,29cm×26cm×5.5cm
8b731aa196a86a223fe00e787b478da2,question_set1,Is it 12 days or 24?,24
e8b7df8f278b11aa945105bbb3876a2a,question_set1,"Could you please tell me the dimensions of the tray - height, width and length preferably in cms ?",Sorry can't help it was for my granddaughter for Christmas last year
e8b7df8f278b11aa945105bbb3876a2a,question_set2,How do you store the sand? does it come with a box to store it in?,"There comes a plate in it, there you can store it. You don't need a box, because it won't dry out."
e8b7df8f278b11aa945105bbb3876a2a,question_set3,is this safe with a dog in the house,"If you don't let your dog eat it then yes, its safe."
fbb6c9482390e9b7a52cb48b7d112e67,question_set1,How much sand is needed to fill up a 700ml bottle?,It would take two of the colours to fill up a 700ml bottle ( so you would have 6 colours left)
9e717ffa60fc14f755cafbdd3a5c3b37,question_set1,how big are the figurines? eg. what size is the smallest part?,Hi....can't remember which was smallest.  Rabbit etc I think. Bought for my grandson who was 2 then. He loved opening it & setting things in a scene x
9e717ffa60fc14f755cafbdd3a5c3b37,question_set2,"What is the age recommendation on this toy?  My son is 22 months, the writing states that it's suitable for toddlers but the pieces look small on pic",It is part of the 123 range suitable from one and up
9e717ffa60fc14f755cafbdd3a5c3b37,question_set3,Is this suitable for a 4 year old?,This product is more aimed at 18months-3 year old. There are other Playmobil advents available for ages 4+.
9e717ffa60fc14f755cafbdd3a5c3b37,question_set4,"I know my animals, but what is a Fuchs?",It's a fox in German
a0799d820373cdc1f858c0bcd9bc2df0,question_set1,roughly does anyone know how many small plastic bottles this sand would fill?,It was a long time ago we had our sand...but I do remember there was a lot of sand left over!!! We filled at least 8 bottles  with over half left. Still using it now....
bf67ec455978d98b47d9eb4719490e35,question_set1,What colour i can get? My daughter needs pink so can i have pink colour if i order for it,You can get a number of colours. If you type pink magic sand in the search bit on amazon and press search it will bring all the pink coloured magic sand with all the different prices. I hope this helps.
5365a737432f34ae99dca4e8289b8078,question_set1,Would this be ok for a 2 year old?,"HalloI think no because this is only  4-10 years. The parts are too small Regression…
    
      see more
    
  
  
    HalloI think no because this is only  4-10 years. The parts are too small RegressionT.Bias
    
      see less"
5365a737432f34ae99dca4e8289b8078,question_set2,Can you re use it year after year?,You could if you were REALLY careful when opening each of the doors.  You would also need to make sure none of the items when missing before re packing ready for next year.  Realistically they are a single year use. Ours stay in the Christmas decoration box and get set up by the smalls each year and still very much enjoyed.
5365a737432f34ae99dca4e8289b8078,question_set3,"I can see the set only contains the four figures plus accessories, does in include the reindeer and sleigh? Thank you",Yes it does
5365a737432f34ae99dca4e8289b8078,question_set4,Does anyone know what's the meaning of style A?,"Hello Carey, no meaning, there is not differents styles, it must be a description generic or that came from other product. Best regards from Playmyplanet"
5365a737432f34ae99dca4e8289b8078,question_set5,What age is this product suitable for?,My daughter was 14 when she asked for this and she loved it
5365a737432f34ae99dca4e8289b8078,question_set6,what size is the display,46x24cm
b10e5a8dd04523ddca2498b8cbbb794a,question_set1,Does in come with Mauve sand?,The sand Is dark purple.
624c2202ec834e3743d364cb2aaef04e,question_set1,are there 3D plastic action figures or are they made of cardboard?,"Its all proper playmobil bits so its plastic. The only cardboard bit is the ""background"""
8d8b3a0a60140eec3644467e478d888c,question_set1,is one bag enough?,Yes
8d8b3a0a60140eec3644467e478d888c,question_set2,What is the difference between A and normal please?,COLORED WEIGH 680 GR. / NORMAL WEIGH 907 GR.
8879776477df76e540c82ca36ebd8b9e,question_set1,The photo is pink but the description is purple - which colour is it please?,"This listing is for the Purple sand...ThanksClive…
    
      see more
    
  
  
    This listing is for the Purple sand...ThanksCliveStortford Toys Limited
    
      see less"
1668098e56bc7b0b909607e5e3e89dc1,question_set1,Is this the 2014 Lego star wars advent calendar?,"Hello, yes it is, got mine a few weeks ago."
1668098e56bc7b0b909607e5e3e89dc1,question_set2,How big are the little packets of construction bits roughly (I want to use them in an existing advent calendar with pockets),"To be quite honest I never open mine, I keep them boxed. However I know that they will go in thestocking type advent calendars with pockets as I have seen that done by someone else."
1668098e56bc7b0b909607e5e3e89dc1,question_set3,"Are the minifigures the ""normal"" size? It looks like the vehicles are micro sized so are the figures to fit these - or the traditional Lego kits?",The figures are regular Lego size although the vehicles are smaller so the figures do not fit inside.
1668098e56bc7b0b909607e5e3e89dc1,question_set4,could someone tell me what the figurines are in the 2014 calender. As I dont want to double up!. Thanks.,"Sorry, no idea apart from the picture on the box, as they won't be all opened until Christmas day."
1668098e56bc7b0b909607e5e3e89dc1,question_set5,do the 2014 & 2015 calenders look the same,Hi generally each year is different so would assume 2015 has new stuff in it.
1668098e56bc7b0b909607e5e3e89dc1,question_set6,We had the Lego Star Wars advent calendar last year.  Is it worth getting this 2014 version or will a lot of the figures be the same as last year?,I got last years and there are definately different figures this year.
1668098e56bc7b0b909607e5e3e89dc1,question_set7,roughly how big are the ships??,Around 2 inches or so... no bigger than the actual Lego figures themselves.
a9175fa97aa534f2a03763a6db39d51f,question_set1,Is this exactly the same as kinetic sand?,yes it is. and my granddaughter who is 5 absolutely loves it (I find it quite clever too).
a9175fa97aa534f2a03763a6db39d51f,question_set2,Would my son be able to write in the sand?,yes he would
a9175fa97aa534f2a03763a6db39d51f,question_set3,"I've heard some concerns as to its safety, is it safe?",What do you mean by safe?
a9175fa97aa534f2a03763a6db39d51f,question_set4,Does it come with a tray for the sand?,"No, it doesn't. We use plastic bag, newspaper ,..its really mess free so you can use anything. Hope this helps."
a9175fa97aa534f2a03763a6db39d51f,question_set5,What sort of size are the moulds?,The moulds are quite small. I bought the motion sand with pyramid moulds which are around 2 -3 inch high. And the jungle animals which are the same size.
a9175fa97aa534f2a03763a6db39d51f,question_set6,How much sand comes in this bucket set?,A fairly  good  sized bag kept my grandaughter amused for several hours. I found its best to use on a large tray this stops it dropping on the floor.
d71f16a9306495104c3b1570d38d3c6f,question_set1,Product description doesn't match images - Can you confirm that this order is for the product shown in the images with the interiors lego?,It is what I ordered advent calendar it may differ in small parts but is a village christmas scene my granddaughter has had one for the last five years and is never disapointed
75cf759be39d513d527f6dbfe18e8098,question_set1,How much sand is actually in this set? Are pictures deceiving?,"HiThere is 675g of sand in this pack..Thanks…
    
      see more
    
  
  
    HiThere is 675g of sand in this pack..ThanksCliveStortford Toys Limited
    
      see less"
12173ddc91c1ec56dd3ce1227d7b72ce,question_set1,What age is this item suitable from?,It normally says on the box but I think it's from 4 years plus
1051cbd9af89d98b6909ae75a3190249,question_set1,Is it 12 days or 24?,24
a7b8d7f970553dcffbcdf5bf68235af9,question_set1,What is it filled with?,There are only illustrations behind the doors.
a2744e3be24deb41a9af99e0e55d0a27,question_set1,how big is the assembled car?,It would be around 10 Centimeters by 5 Centimeters and weighs around 500 grams
a2744e3be24deb41a9af99e0e55d0a27,question_set2,Do the doors and engine/boot open? Thanks,Yes they do. Detail is good ;)
a2744e3be24deb41a9af99e0e55d0a27,question_set3,If i order now can i be sure the colour will be red?,We only have this item in Red. Kind Regards Mini Model Shop
a2744e3be24deb41a9af99e0e55d0a27,question_set4,Can you apply throttle or does it just go fast or slow?,This is just a display item and does not move unless you push it
a2744e3be24deb41a9af99e0e55d0a27,question_set5,Could you please tell me the dimensions of the assembled car,The car was a present so I'm not sure. Sorry
a2744e3be24deb41a9af99e0e55d0a27,question_set6,Could you please tell me the dimensions of the assembled car,"I am sorry I am unable to do so, I brought it for my Nephew who lives in Singapore, he loved it"
a2744e3be24deb41a9af99e0e55d0a27,question_set7,Could you please tell me the dimensions of th a,"Hi There, for full description and dimensions scroll down the page on this product which will give a better description than I can - nice product, good and sturdy, good decorative piece - hope this was helpful"
a2744e3be24deb41a9af99e0e55d0a27,question_set8,I want to order for my nephews birthday. Is there any chance you could make sure he gets the red car not yellow?,Please place your order and then contact the merchant with your order number. You should then be sent the colour you require. Jamie - WebTeam @ FunFuzion
a2744e3be24deb41a9af99e0e55d0a27,question_set9,could you please tell me the dimensions of this car,19 1\2 cm long  8cm wide  5 1\2cm high very smart model and a good weight
a2744e3be24deb41a9af99e0e55d0a27,question_set10,"Hi, looking to order this a christmas present, do you still have red available and if so how would I indicate this on my order? Thanks","Hi,Yes we still have Red available. The stock code on amazon is for the red one we would know to send the correct colourKind Regards…
    
      see more
    
  
  
    Hi,Yes we still have Red available. The stock code on amazon is for the red one we would know to send the correct colourKind RegardsMini Model Shop
    
      see less"
94aafe2d37e6ff26cd05d7b8a20cb543,question_set1,actual size in mm please,Approx 190mm in length and 140mm in height ( to top of exhaust pipe?)
c3452ea9444c55d504708be33f403157,question_set1,is this smokey and the bandit trans am is the first car or the secord car,"Hi Adam, this is the Trans-Am from the first film."
0cafe5cdc7590a066e52f548b178a5d9,question_set1,What batteries does this tractor need and are they included?,The batteries are included. This was a present last year and my step daughter has been playing constantly with it and still we haven't changed the batteries.
0cafe5cdc7590a066e52f548b178a5d9,question_set2,How big is this tractor please?,About 30cm by 22cm - quite big and chunky
a76886a6e1256efb97339148bd2008e0,question_set1,"Good day, is this a model to be assembled ?","Yes it is, it comes in Kit Form, it is one of the larger detailed model kits and does need to be assembled. I hope this answers your question. :) With best wishes, eModelShop."
a3f28e208fc1c738172ba51d923a676a,question_set1,can I get the sounds it makes in English?,"I am not sure, but it was over priced for the quality."
d092030a63e0bfbc8781b58cf624ebfd,question_set1,is the car able to drive outside,It's a model not a real car!
25cdbda21e0f7e165c0136a7034e9304,question_set1,Does it have digital proportional steering?,"I'm not too sure what is meant by digital proportional steering, but I can tell you that it does what it said on the tin. The car Drifts very well depending on the surface (we're running it on a tile floor or hardwood flr). If you can put the question in a simpler term (laymans) I maybe able to help. Ah just to say thi…
    
      see more
    
  
  
    I'm not too sure what is meant by digital proportional steering, but I can tell you that it does what it said on the tin. The car Drifts very well depending on the surface (we're running it on a tile floor or hardwood flr). If you can put the question in a simpler term (laymans) I maybe able to help. Ah just to say this drift car is on the beginners level
    
      see less"
e18cac7fb4be1a436d267641583ece33,question_set1,does this float?,"No, it's a heavy little wooden boat specifically for a train track village setting."
ee9a0a13466cb847ebf8c3a457b4064d,question_set1,"Looking at the picture you've got displayed here, isn't that Ben Spies' bike, not Lorenzo's?","Well spotted, the bile is clearly Ben Spies no 11 Yamaha !"
